symbol;type;currency;multiplier;expiry;underlying
EURUSD;currency;USD;;;EURUSD
ESZ4;future;USD;50;2014-12-19;SPX
ESU5;future;USD;50;2015-09-18;SPX
ESZ5;future;USD;50;2015-12-18;SPX
ESH6;future;USD;50;2016-03-18;SPX
ESM6;future;USD;50;2016-06-17;SPX
SPX;index;USD;;;SPX
VGZ4;future;EUR;10;2014-12-19;SX5E
VGU5;future;EUR;10;2015-09-18;SX5E
VGZ5;future;EUR;10;2015-12-18;SX5E
VGH6;future;EUR;10;2016-03-18;SX5E
VGM6;future;EUR;10;2016-06-17;SX5E
SX5E;index;EUR;;;SX5E
FVSX4;future;EUR;100;2014-11-21;V2X
FVSZ4;future;EUR;100;2014-12-19;V2X
FVSF5;future;EUR;100;2015-01-16;V2X
FVSG5;future;EUR;100;2015-02-20;V2X
FVSH5;future;EUR;100;2015-03-20;V2X
FVSJ5;future;EUR;100;2015-04-17;V2X
FVSK5;future;EUR;100;2015-05-15;V2X
FVSM5;future;EUR;100;2015-06-17;V2X
FVSN5;future;EUR;100;2015-07-15;V2X
FVSQ5;future;EUR;100;2015-08-19;V2X
FVSU5;future;EUR;100;2015-09-16;V2X
FVSV5;future;EUR;100;2015-10-14;V2X
FVSX5;future;EUR;100;2015-11-18;V2X
FVSZ5;future;EUR;100;2015-12-16;V2X
FVSF6;future;EUR;100;2016-01-13;V2X
FVSG6;future;EUR;100;2016-02-17;V2X
FVSH6;future;EUR;100;2016-03-16;V2X
FVSJ6;future;EUR;100;2016-04-13;V2X
FVSK6;future;EUR;100;2016-05-18;V2X
FVSM6;future;EUR;100;2016-06-15;V2X
V2X;index;EUR;;;V2X
UXX4;future;USD;1000;2014-11-21;VIX
UXZ4;future;USD;1000;2014-12-19;VIX
UXF5;future;USD;1000;2015-01-16;VIX
UXG5;future;USD;1000;2015-02-20;VIX
UXH5;future;USD;1000;2015-03-20;VIX
UXJ5;future;USD;1000;2015-04-17;VIX
UXK5;future;USD;1000;2015-05-15;VIX
UXM5;future;USD;1000;2015-06-17;VIX
UXN5;future;USD;1000;2015-07-15;VIX
UXQ5;future;USD;1000;2015-08-19;VIX
UXU5;future;USD;1000;2015-09-16;VIX
UXV5;future;USD;1000;2015-10-14;VIX
UXX5;future;USD;1000;2015-11-18;VIX
UXZ5;future;USD;1000;2015-12-16;VIX
UXF6;future;USD;1000;2016-01-13;VIX
UXG6;future;USD;1000;2016-02-17;VIX
UXH6;future;USD;1000;2016-03-16;VIX
UXJ6;future;USD;1000;2016-04-13;VIX
UXK6;future;USD;1000;2016-05-18;VIX
UXM6;future;USD;1000;2016-06-15;VIX
VIX;index;USD;;;VIX
