symbol;ib_symbol;ib_type;ib_exchange;ib_currency;ib_expiry;ib_strike;ib_right;ib_trading_class
VIX;VIX;IND;CBOE;USD;;0.0;;VIX
V2X;V2TX;IND;DTB;EUR;;0.0;;EUREX
EURUSD;EUR;CASH;IDEALPRO;USD;;0.0;;EUR.USD
VGZ5;ESTX50;FUT;DTB;EUR;201512;0.0;;FESX
VGH6;ESTX50;FUT;DTB;EUR;201603;0.0;;FESX
ESZ5;SPX;FUT;CME;USD;201512;0.0;;SP
ESH6;SPX;FUT;CME;USD;201603;0.0;;SP
FVSV5;V2TX;FUT;DTB;EUR;201510;0.0;;FVS
FVSX5;V2TX;FUT;DTB;EUR;201511;0.0;;FVS
FVSZ5;V2TX;FUT;DTB;EUR;201512;0.0;;FVS
FVSF6;V2TX;FUT;DTB;EUR;201601;0.0;;FVS
FVSG6;V2TX;FUT;DTB;EUR;201602;0.0;;FVS
FVSH6;V2TX;FUT;DTB;EUR;201603;0.0;;FVS
UXV5;VIX;FUT;CFE;USD;201510;0.0;;VX
UXX5;VIX;FUT;CFE;USD;201511;0.0;;VX
UXZ5;VIX;FUT;CFE;USD;201512;0.0;;VX
UXF6;VIX;FUT;CFE;USD;201601;0.0;;VX
UXG6;VIX;FUT;CFE;USD;201602;0.0;;VX
UXH6;VIX;FUT;CFE;USD;201603;0.0;;VX
